Manish Rohith,compositing artist: Monsters Aliens Robots Zombies 
Luca Gabriele Rossetti,digital matte painter/environment supervisor: Monsters Aliens Robots Zombies 
Salil Thapa,visual effects line producer: NetFX Mumbai 
Fran�ois Trudel,visual effects artist: MELS / visual effects supervisor: MELS 
Wesley While,compositor: Take 5 VFX 
Kaylie Whitcher,visual effects producer: Folks VFX 
Sarah Wormsbecher,visual effects executive producer: Folks VFX 
Summer Zong,cg supervisor: Folks VFX 
Oksana Andrulis,visual effects production manager: Folks VFX / animation coordinator: Folks VFX 
David Dionne,visual effects artist: MELS 
Josh George,fx lead: Folks VFX 
James Takashi Higuchi,lighting supervisor: Monsters Aliens Robots Zombies 
Christopher Jude,compositor: Rocket Science VFX 
Jos� Lasa,compositor: Rocket Science VFX / visual effects lighter: Rocket Science VFX 
Marco Lee,compositing supervisor: Folks VFX 
Dinaaz Mathur,visual effects production coordinator: NetFX Mumbai 
Ben McDougal,surfacing lead: Monsters Aliens Robots Zombies 
Sumit Mukherjee,paint supervisor: NetFX Mumbai 
Isha Nigam,head of production: NetFX Mumbai 
Ryan Jae Wook Park,layout supervisor: Folks VFX 
Gustavo Sanchez-Perez,fx supervisor: Monsters Aliens Robots Zombies 
Kyle Sim,head of 2d: Folks VFX 
Pankaj Umbarkar,junior paint lead: NetFX Mumbai 
Sahil Agrahari,junior paint artist: NetFX Mumbai 
Chris Archinet,visual effects artist: MELS 
Ajay Kumar Attinti,roto lead: NetFX Mumbai 
Samuel Boisvert,visual effects artist: MELS 
Reine Bourgault,visual effects artist: MELS 
Aakash Chaudhari,roto artist: NetFX Mumbai 
Dave David,animation artist: Monsters Aliens Robots Zombies 
Amod Diwakar,assistant visual effects line producer: Stereo D / visual effects assistant line producer: Stereo D 
Nadine Fr�ve,lead visual effects editor: Folks VFX / visual effects editor: Folks VFX 
Mark Goldberg,compositor 
Leonardo Andres Grabau Villalba,visual effects artist: MELS 
Jonathan Gr�goire,visual effects artist: MELS 
Jeanne Hebert,visual effects artist: MELS 
Pravin Hodage,2d supervisor: NetFX Mumbai 
Cory Humes,animation supervisor: Folks VFX 
Siddarth Jambhulkar,compositor: Rocket Science VFX 
Mukesh Joshi,senior i/o coordinator: NetFX Mumbai 
Simon Lecavalier,cg supervisor: MELS 
Christophe Longtin,visual effects artist: MELS 
Oleg Memukhin,fx supervisor: Folks VFX 
Waseem Mohammed,head of central production: Monsters Aliens Robots Zombies 
Dany Richard,visual effects artist: MELS 
Nisarg Suthar,lighting supervisor: Folks VFX 
Nitesh Sutrave,compositing supervisor: NetFX Mumbai 
Sarvesh Talekar,roto artist: NetFX Mumbai 
Himani Tyagi,junior paint artist: NetFX Mumbai 
Waseem Ahmad Khan,paint artist: Stereo D 
Rodrigo Albano,environment artist: Monsters Aliens Robots Zombies 
Don Carlo Alvir,animation artist: Monsters Aliens Robots Zombies 
Leanndro Amorim,compositing artist: Monsters Aliens Robots Zombies 
Seshadri Anand,tracking/layout lead: Monsters Aliens Robots Zombies 
Blake Anderson,visual effects supervisor: VFX Legion 
Schuyler Anderson,tracking/layout lead: Monsters Aliens Robots Zombies 
Edwin Arismendez,visual effects artist: MELS 
Jessica Bayliss,head of production: Monsters Aliens Robots Zombies 
Sudhakar Bhavanasi,deputy manager: Stereo D 
Alan Bisht,compositing artist: NetFX Mumbai 
William Blanchette,visual effects artist: MELS 
Jordan Boulais,visual effects artist: MELS 
J. Alan Bradshaw,head of cg: Monsters Aliens Robots Zombies 
Peter Braeley,digital matte painter: Folks VFX 
Charlotte Breton,visual effects editor: Folks VFX 
Alex Bronfman,sales lead: Monsters Aliens Robots Zombies 
Jonathan Bronfman,head of studio: Monsters Aliens Robots Zombies 
Dennis Chan,animation artist: Monsters Aliens Robots Zombies 
Hardik Chauhan,senior compositing artist: NetFX Mumbai 
Molly Chen,assets artist: Monsters Aliens Robots Zombies 
Sujesh V. Chitty,concept artist: Folks VFX 
Nolan Conrad,digital compositor: VFX Legion 
Andr�s Couturier,graphic artist: VFX Legion 
Madhu Dasyapu,assistant roto supervisor: Stereo D 
Rodrigo de Angelis,fx artist: Monsters Aliens Robots Zombies 
Sofia Diaz,lighting artist: Monsters Aliens Robots Zombies 
Maya Dumont-Deslandes,visual effects studio manager: MELS 
Abdullah Ecirli,compositing artist: Monsters Aliens Robots Zombies 
Manoj Kumar Elangovan,tracking & layout artist: Monsters Aliens Robots Zombies 
Michael Enzbrunner,animation lead: Monsters Aliens Robots Zombies 
Timothy Fleur,creature artist: Monsters Aliens Robots Zombies 
Adam Fok,rigging lead: Monsters Aliens Robots Zombies 
Gil Franco,assets artist: Monsters Aliens Robots Zombies 
Emily Funk,assets artist: Monsters Aliens Robots Zombies 
Antonio Gallardo,visual effects producer: VFX Legion 
Gregory Galliani,modeling lead: Monsters Aliens Robots Zombies 
Igor Garanovschii,matte painter: Rocket Science VFX 
Kunal Ghai,paint artist: Stereo D 
Rakan Ghresi,fx artist: Monsters Aliens Robots Zombies 
Jimmy Gill,animation artist: Monsters Aliens Robots Zombies 
Yash Gowda,head of 2d: Monsters Aliens Robots Zombies 
Jameer Haider,paint artist: NetFX Mumbai 
Lewis Hawkes,rigging lead: Monsters Aliens Robots Zombies 
Jim Hillin,visual effects lighter Ghost VFX Toronto 
Curtis Hsiung,animator: Rocket Science VFX 
Chen Kuang Hsu,tracking & layout artist: Monsters Aliens Robots Zombies 
Salvatore Iamonte,rigging artist: Monsters Aliens Robots Zombies 
Pragati Jana,paint artist: Stereo D 
Juyong Jeon,visual effects artist 
Kenny Jia,digital matte painter lead: Monsters Aliens Robots Zombies 
Laszlo Kalbache,asset artist: Rocket Science VFX 
Ashraf Karim,senior compositing artist: NetFX Mumbai 
Sharad Kate,paint artist: Stereo D 
Min Kim,compositing supervisor: Folks VFX 
Jamie Knoop,visual effects production assistant: Stereo D 
Ashwini Lad,visual effects administrator: Stereo D 
Nadege Lagueux-Beloin,visual effects artist: MELS 
Tukaram Landbale,roto artist: NetFX Mumbai 
Dany Lebrasseur,visual effects artist: MELS 
Kate T.C. Lin,digital compositor: VFX Legion 
Matthias Lowry,digital compositor: VFX Legion 
Jimmy Lue,visual effects coordinator: Folks VFX 
Jim Maxwell,matte painter: Take 5 VFX 
Jay Mehta,paint artist: NetFX Mumbai 
Kristine Middlemiss,head of technology: Monsters Aliens Robots Zombies 
Ali Mio,visual effects producer: Rocket Science VFX 
Guto Miranda,compositing artist: Monsters Aliens Robots Zombies 
Vashishta Mohit,compositing artist: NetFX Mumbai 
Lon Molnar,head of studio: Monsters Aliens Robots Zombies 
Jose Ignacio Narv�ez Monroy,compositing lead: Mr. X 
Atyeb Muneer,compositing artist: Monsters Aliens Robots Zombies 
Ganesh Ramdas Nalle,senior roto artist: NetFX Mumbai 
Michael Naphan,layout artist: Rocket Science VFX 
Marla Oriol,lighting artist: Monsters Aliens Robots Zombies 
Daksh Pandya,visual effects artist 
Niki Patterson,data technician: Stereo D 
Aravind Pauldurai,compositing artist: Monsters Aliens Robots Zombies 
Victor Perez,animation artist: Monsters Aliens Robots Zombies 
Navin Pinto,rigging artist: Monsters Aliens Robots Zombies 
Norman Ran,fx lead: Rocket Science VFX 
Parastu Rezaie,lighting lead: Monsters Aliens Robots Zombies 
Jean-Christophe Rodier,rigging artist: Monsters Aliens Robots Zombies 
Dmitry Ryabchuk,environment lead: Monsters Aliens Robots Zombies 
Maryam Salehi,i/o: MELS 
Rajvinder Sandhu,lighting artist: Monsters Aliens Robots Zombies 
Eric Sanford,creature lead: Monsters Aliens Robots Zombies 
Rohan Sapkal,junior roto artist: NetFX Mumbai 
Alexandre Savard-Boisvert,digital compositor 
Mark Schreiber,animator 
Aryan Sehgal,utility compositor 
Ronak Shah,fx lead: Monsters Aliens Robots Zombies 
Neelima Sharma,compositor: NetFX Mumbai 
Vishal Shitole,i/o coordinator: NetFX Mumbai 
Casey Sincic,visual effects producer: Monsters Aliens Robots Zombies 
Lovelesh Singh,compositing artist: NetFX Mumbai 
Kalpana Mahapatro Siromani,art director & mattepainting lead 
Joseph Soloway,visual effects coordinator: VFX Legion 
Meredith Sproul,show coordinator: Monsters Aliens Robots Zombies 
Danny Testani,animation artist: Monsters Aliens Robots Zombies 
Ali Thaheem,creature artist: Monsters Aliens Robots Zombies 
Hyacinthe Thomas,i/o: MELS 
Phillip Thomas,animation artist: Monsters Aliens Robots Zombies 
Susana Vasquez,visual effects production coordinator: Take 5 VFX 
Marcus Vinicius,i/o: MELS 
Louis Vottero,rigging lead: Monsters Aliens Robots Zombies 
Tina Vuu,visual effects coordinator: VFX Legion 
Tanja Wax,fx artist: Rocket Science VFX 
Christina Wise,head of studio: MELS 
Jill Wu,digital matte painter: Monsters Aliens Robots Zombies 
Alphonso Young,matte painter: Take 5 VFX 
Refo Yovarda,visual effects production assistant: Stereo D 
Virpalsinh Zala,compositing artist: Monsters Aliens Robots Zombies 
Abin Abraham,assets lead: MPC (uncredited) 
Adrian Bobb,creature artist (uncredited) 
Eddie Bonin,visual effects executive: Netflix (uncredited) 
R�mi Bruschini,pipeline td (uncredited) 
Binod Kumar Das,asset supervisor: MPC (uncredited) 
Tiago Foa,imaging engineer: Mr. X (uncredited) 
Jaime Fok,visual effects editorial lead (uncredited) 
J.P. Giamos,head of production: Rocket Science VFX (uncredited) 
Martin Hesselink,Animation Supervisor (uncredited) 
Rushikesh Chandrashekhar Kamble,3d digital matte painter (uncredited) 
Daniel May,visual effects art direction (uncredited) 
Rachad Meya,lighting supervisor (uncredited) 
Shoupal Panda,texture & lookdev artist (uncredited) 
Josephin Peichl,visual effects coordinator: Netflix (uncredited) 
Rakesh,3d digital matte painter lead (uncredited) 
Kim Rampaul,visual effects coordinator: Netflix (uncredited) 
Saha Saikat,texturing & lookdev artist (uncredited) 
Seema Schere,matte painter: Monsters Aliens Robots Zombies (uncredited) 
Surajit Senapati,3d artist (uncredited) 
Satyendra Sharma,compositor: MPC (uncredited) 
Prathamesh Ashok Waykole,asset artist: MPC (uncredited) 
Dean Wright,visual effects executive: MGM Television (uncredited) 
Dylan Botnarenko,digital matte painter: MPC (uncredited) 
Arjun Jasmeet Chawla,digital compositor: MPC (uncredited) 
Dennis Tae Wook Kim,digital compositor (uncredited) 
Hoss Ghaith,cg supervisor (uncredited) 
Solyi Ha,compositor: Folks VFX (uncredited) 
Caylee Han,compositor: Folks VFX (uncredited) 
Krista Wettlaufer,digital artist (uncredited) 
Christopher Lee Zammit,concept artist (uncredited) 
Felipe Baldo,lighting artist: Folks VFX (uncredited) 
Marc-Antoine Blais,digital compositor (uncredited) 
Adrien Francomme,digital compositor (uncredited) 
Eduardo Gon�alves,digital compositor: Monsters Aliens Robots Zombies (uncredited) 
Alexander Greenberg,senior compositor: Monsters Aliens Robots Zombies (uncredited) 
Prashant Jain,3d digital matte painter (uncredited) 
Hossein Karamian,compositor: Monsters Aliens Robots Zombies (uncredited) 
Giuseppe Motta,creature supervisor (uncredited) 
Chokkarapu Sai Pradeep,visual effects lighting artist (uncredited) 
Pedro Roloff,digital compositor (uncredited) 
Ilija Sazdovski,layout artist (uncredited) 
Jason Schick,digital compositor (uncredited) 
Christa Tazzeo,visual effects executive producer: Rocket Science VFX (uncredited) 
Sekh Batul Ali,visual effects artist (uncredited) 
Luca Buonopane,key groom artist: MPC (uncredited) 
Julian Fadalti,layout artist (uncredited) 
Nitin Garg,senior lookdev artist: Folks VFX (uncredited) 
Avinash Kodali,lighting artist (uncredited) 
Genevieve Morneau,digital compositor: MELS (uncredited) 
Alex Park,matchmove artist: Folks VFX (uncredited) 
Evan Roberts,lighting artist (uncredited) 
Pavankumar Sagiraju,lighting artist (uncredited) 
Yulia Segura,compositor: Folks VFX (uncredited) 
Amarjit Singha,3d artist (uncredited) 
Brett Chan,stunt coordinator 
Ionut Cotruta,stunt rigger 
Jason Ng,assistant stunt coordinator / cover stunt coordinator 
Jenny Umbhau,stunt double: Jenna Ortega 
Fanel Ursu,stunt rigger 
Andrei Vintileanu,stunt rigger 
Daniel Visan,stunts 
Nailah Johnson,stunt double: Joy Sunday / stunt performer 
Kinga Kives,stunt performer 
Alexandre Lopoka,stunt double: Tommie Earl Jenkins 
Milena Brewster,stunt double: Johnna Dias-Watson 
Maxime Coulon,stunt double: Calum Ross 
Gabrielle Anne Desy,stunt double: Emma Myers 
Victoria Goodman,stunt performer 
Daniel Himschoot,stunt double: Percy White 
Matt Kennedy,stunt performer 
Kaanchana Kerr,stunt performer 
Darlene Pineda,stunt performer 
Phedra Syndelle,stunt double: Joy Sunday 
Alexandra Vilcsek,stunt performer 
Don�t B�nkuti,digital imaging technician: second unit 
Vlad Cioplea,still photographer 
David Dorohoianu,second photography assistant 
Omar Dughouz,"second assistant camera: ""a"" camera "
D�niel Farkas,digital imaging technician 
Robert Fenichiu,electrician / lighting technician 
Cristi Fratoaica,second assistant camera: second unit 
Toni Ilinca,video operator 
Ochiana Ionut,video assist operator 
Andrei Karastanef,"second assistant camera: ""a"" camera "
Brad Larner,"first assistant camera: ""a"" camera "
Tudor Lucaciu,director of photography: second unit 
Radu Marinescu,key grip 
Florin Mihalache,gaffer 
Mihai Adrian Olteanu,best boy electric 
Andrei Petrescu,electrician 
Liviu Pojoni Jr.,"camera operator: ""b"" camera "
Florea Andrei Stefan,dimmerboard operator/lighting console programmer 
Viorel Stefan,crane operator 
Adelina Vancea,camera trainee 
Petre Victor,"camera operator: ""b"" camera "
Rob Arrowsmith,"camera operator: ""a"" camera/steadicam operator main unit "
Andrei Cretan,"first assistant camera: ""b"" camera "
Fabrizio Sciarra,"camera operator: ""a"" camera/steadicam operator main unit "
Boroka Biro,director of photography: epk 
Valdas Gulbinauskas,video assistant: additional photography 
Matei Popa,second assistant camera: second unit 
S�ndor �rkus,data management technician 
Cornel Biciu,underwater gaffer 
Neil Bradley,ronin 2 technician: additional photography 
Alexandru Durac,"camera operator: ""a"" camera/steadicam operator "
Sarbu Gigi,key grip: second unit 
Ben Parish,underwater assistant camera 
Aurelian Radu,grip 
Ian Seabrook,underwater director of photography 
Constantin Stan,second unit 
Alexandru Bogdan Stefan,crane technician 
Bal�zs V�rszegi,data management technician 
Jens Winkler,underwater assistant camera 
Catalin Popa,photography assistant (uncredited) 
Peter Driscoll,key animator 
Whitney Strouth,animator (uncredited) 
Emily Bohbrink,casting associate 
Sin�ad Donnelly,casting assistant: Jenna Ortega 
Radu Dragoi,casting assistant 
Frankie Fearis,casting assistant 
Olissa Rogers,casting associate: Jenna Ortega 
Chandra Ruegg,casting associate 
Fiona Weir,casting: Jenna Ortega 
Sarah Wilson,casting associate 
Maddalena Zuppetta,casting assistant 
George Ludlow,casting associate 
Ioana Albaiu,wardrobe supervisor 
Madalina Anton,breakdown artist 
Mattia Bionda,principal costume cutter 
Mariana Bujoi,costumer 
Maria Ciucanu,wardrobe mistress 
Ylenia Comerci,principal seamstress 
Lavinia Dedu,set costumer 
Constantinescu Denisa,wardrobe assistant 
Andreea Dinu,principal standby 
Maria Endara,senior costume maker 
Cristina Ghergheli,set costumer 
Megan Howell,senior costume maker 
Daniela Ilin,set costumer 
Benjamin Ip,costume concept artist 
